Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs ,Rep,Temp
6/24/2016,12,37,28,7,10,,3,1,,,,,,1,16
6/26/2016,,17,34,12,8,4,1,,2,1,,,,1,16
6/28/2016,,4,34,10,12,6,,,1,,,,,1,16
6/30/2016,,1,36,10,6,15,,,,,,,,1,16
7/2/2016,,,30,11,9,16,,,,,,,,1,16
7/4/2016,,,26,13,5,16,,,,,,,,1,16
7/6/2016,,,17,14,6,17,,,,,,,,1,16
7/8/2016,,,15,17,5,18,,,,,,,,1,16
7/10/2016,,,10,16,9,18,,1,,,,,,1,16
7/12/2016,,,1,17,13,17,,2,,,,,,1,16
7/14/2016,,,,17,10,19,,3,,,,,,1,16
7/16/2016,,,,14,12,15,,4,,1,,,,1,16
7/18/2016,,,,12,10,18,1,4,,,,,,1,16
7/20/2016,,,,13,6,12,1,5,,,,,,1,16
7/22/2016,,,,5,13,12,2,5,,,,,,1,16
7/24/2016,,,,4,11,12,1,2,1,3,,,,1,16
7/26/2016,,,,2,7,16,1,2,,,,2,"61, 36",1,16
7/28/2016,,,,,6,14,1,2,,,,,,1,16
7/30/2016,,,,,3,16,1,,,2,,,,1,16
8/1/2016,,,,,2,15,1,1,,,,,,1,16
8/3/2016,,,,,2,12,1,1,1,,,,,1,16
8/5/2016,,,,,1,9,2,1,1,,,,,1,16
8/7/2016,,,,,1,7,2,1,1,,,,,1,16
8/9/2016,,,,,,6,3,1,,,,,,1,16
8/11/2016,,,,,,3,4,3,,,,,,1,16
8/13/2016,,,,,,2,4,1,1,2,,,,1,16
8/15/2016,,,,,,2,4,1,,,,,,1,16
8/17/2016,,,,,,1,4,1,1,,,,,1,16
8/19/2016,,,,,,1,4,,,1,,,,1,16
8/21/2016,,,,,,,2,,3,,,,,1,16
8/23/2016,,,,,,,1,,1,,,,,1,16
8/25/2016,,,,,,,,,1,,,,,1,16
5/25/2016,,,,,,,,,,,20,,,2,16
5/27/2016,20,,,,,,,,,,20,,,2,16
5/29/2016,11,18,,,,,,,,,20,,,2,16
5/31/2016,23,8,18,,,,,,,,20,,,2,16
6/2/2016,18,15,14,,,,,,,,20,,,2,16
6/4/2016,16,15,19,,,,,,,,20,,,2,16
6/6/2016,12,6,23,5,,,,,,,20,,,2,16
6/8/2016,21,7,17,6,3,,,,,,20,,,2,16
6/10/2016,38,5,20,8,7,,,,,,20,,,2,16
6/12/2016,6,22,18,10,7,1,,,,,20,,,2,16
6/14/2016,12,18,22,8,6,2,,,,,20,,,2,16
6/16/2016,17,4,24,10,4,5,,,,,20,,,2,16
6/18/2016,16,12,21,5,9,7,,,,,20,,,2,16
6/20/2016,14,10,19,3,9,9,,,,,20,,,2,16
6/22/2016,22,7,13,5,9,11,,,,,20,,,2,16
6/24/2016,21,4,14,8,5,9,,1,1,,20,,,2,16
6/26/2016,20,17,18,3,9,11,,,,,20,,,2,16
6/28/2016,10,10,19,3,9,9,1,,,1,20,,,2,16
6/30/2016,20,14,21,7,3,9,3,,,,20,,,2,16
7/2/2016,19,16,22,4,7,7,3,,,2,20,,,2,16
7/4/2016,12,20,21,5,3,9,1,1,2,,,,,2,16
7/6/2016,34,13,21,10,2,11,1,,,1,,,,2,16
7/8/2016,11,12,28,9,5,10,2,4,,,,,,2,16
7/10/2016,30,11,25,9,10,9,3,2,1,2,,,,2,16
7/12/2016,13,9,19,7,8,10,2,3,2,,,3,"55, 87, 94",2,16
7/14/2016,22,1,18,9,5,12,,5,2,1,,,,2,16
7/16/2016,17,15,10,9,8,14,,5,,,,,,2,16
7/18/2016,8,17,21,30,7,7,2,4,,,,1,47,2,16
7/20/2016,16,12,10,4,6,12,1,3,,3,,,,2,16
7/22/2016,7,12,15,4,2,12,2,5,,,,2,"96, 90",2,16
7/24/2016,2,9,14,1,3,10,1,4,1,4,,2,"63, 41",2,16
7/26/2016,,3,12,9,2,4,2,4,1,2,,2,"87, 63",2,16
7/28/2016,,3,10,5,7,4,1,,1,4,,1,56,2,16
7/30/2016,95,2,7,5,11,2,,1,1,,,,,2,16
8/1/2016,83,5,4,9,2,2,,,,2,,,,2,16
8/3/2016,23,35,3,4,5,10,,,,,,,,2,16
8/5/2016,35,38,7,4,2,13,,,,,,,,2,16
8/7/2016,14,15,20,1,4,15,,,,,,,,2,16
8/9/2016,11,14,20,2,2,16,,,,,,,,2,16
8/11/2016,2,10,20,1,3,10,3,,,,,,,2,16
8/13/2016,,10,18,1,2,7,6,,,,,,,2,16
8/15/2016,,6,14,6,,6,7,1,,,,,,2,16
8/17/2016,,4,11,8,1,6,6,1,1,,,,,2,16
8/19/2016,,,8,9,3,5,7,1,,,,,,2,16
8/21/2016,,,7,7,5,5,6,1,1,,,,,2,16
8/23/2016,,,6,5,6,,4,1,1,1,,,,2,16
8/25/2016,,,2,6,7,2,3,,1,1,,,,2,16
8/27/2016,,,1,5,5,4,3,,1,,,,,2,16
8/29/2016,,,2,3,3,7,2,,1,,,,,2,16
8/31/2016,,,1,1,2,8,4,,,,,,,2,16
9/2/2016,,,1,,2,9,4,,,,,,,2,16
9/4/2016,,,,1,1,10,4,,,,,,,2,16
9/6/2016,,,,1,,10,1,,3,,,,,2,16
9/8/2016,,,,1,,10,,,1,,,,,2,16
9/10/2016,,,,1,,10,,,,,,,,2,16
9/12/2016,,,,1,,6,2,2,,,,,,2,16
9/14/2016,,,,,1,2,3,3,,,,1,130,2,16
9/16/2016,,,,,1,2,3,3,,,,,,2,16
9/18/2016,,,,,1,2,3,3,,,,2,"43, 67",2,16
9/20/2016,,,,,,1,1,1,2,2,,2,"28, 44",2,16
9/22/2016,,,,,,1,1,1,,,,,,2,16
9/24/2016,,,,,,1,,1,1,,,,,2,16
9/26/2016,,,,,,,,,,1,,,,2,16
9/28/2016,,,,,,,,,,,,,,2,16
9/30/2016,63,,,,,,,,,,,,,2,16
10/2/2016,51,,,,,,,,,,,,,2,16
10/4/2016,55,,,,,,,,,,,,,2,16
10/6/2016,36,11,,,,,,,,,,,,2,16
10/8/2016,19,18,,,,,,,,,,,,2,16
10/10/2016,12,21,3,,,,,,,,,,,2,16
10/12/2016,5,10,14,,,,,,,,,,,2,16
10/14/2016,2,4,16,,,,,,,,,,,2,16
10/16/2016,,6,18,,,,,,,,,,,2,16
10/18/2016,,4,18,,,,,,,,,,,2,16
10/20/2016,,,16,3,,,,,,,,,,2,16
10/22/2016,,,11,4,1,,,,,,,,,2,16
10/24/2016,,,4,8,3,,,,,,,,,2,16
10/26/2016,,,1,5,7,,,,,,,,,2,16
10/28/2016,,,,6,6,,,,,,,,,2,16
10/30/2016,,,,4,3,2,,,,,,,,2,16
11/1/2016,,,,1,5,3,,,,,,,,2,16
11/3/2016,,,,,5,5,,,,,,,,2,16
11/5/2016,,,,,3,7,,,,,,,,2,16
11/7/2016,,,,,1,9,,,,,,,,2,16
11/9/2016,,,,,,10,,,,,,,,2,16
11/11/2016,,,,,,10,,,,,,,,2,16
11/13/2016,,,,,,7,,1,,,,,,2,16
11/15/2016,,,,,,7,,1,,,,,,2,16
11/17/2016,,,,,,4,2,1,,,,,,2,16
11/19/2016,,,,,,3,2,2,,,,,,2,16
11/21/2016,,,,,,,1,3,1,,,,,2,16
11/23/2016,,,,,,,1,2,,1,,,,2,16
11/25/2016,,,,,,,,2,1,,,,,2,16
11/27/2016,,,,,,,,2,,,,,,2,16
11/29/2016,,,,,,,,2,,,,,,2,16
12/1/2016,,,,,,,,2,,,,,,2,16
12/3/2016,,,,,,,,2,,,,,,2,16
12/5/2016,,,,,,,,1,,1,,,,2,16
12/7/2016,,,,,,,,1,,,,,,2,16
12/9/2016,,,,,,,,,,1,,,,2,16
10/20/2016,,,,,,,,,,,20,,,3,16
10/22/2016,19,,,,,,,,,,20,,,3,16
10/24/2016,37,,,,,,,,,,20,,,3,16
10/26/2016,49,6,,,,,,,,,20,,,3,16
10/28/2016,66,8,,,,,,,,,20,,,3,16
10/30/2016,73,18,,,,,,,,,20,,,3,16
11/1/2016,52,6,11,,,,,,,,20,,,3,16
11/3/2016,55,7,14,,,,,,,,20,,,3,16
11/5/2016,53,9,14,,,,,,,,20,,,3,16
11/7/2016,32,10,18,,,,,,,,20,,,3,16
11/9/2016,36,10,12,3,,,,,,,20,,,3,16
11/11/2016,33,4,17,4,,,,,,,20,,,3,16
11/13/2016,29,2,16,5,2,,,,,,20,,,3,16
11/15/2016,26,8,13,3,3,,,,,,20,,,3,16
11/17/2016,21,12,9,2,6,,,,,,20,,,3,16
11/19/2016,20,12,11,2,6,,,,,,20,,,3,16
11/21/2016,23,5,14,4,7,,,,,,20,,,3,16
11/23/2016,19,3,12,7,3,,,,,,20,,,3,16
11/25/2016,8,3,14,5,1,5,,,,,20,,,3,16
11/27/2016,10,6,10,3,4,4,,,,,20,,,3,16
11/29/2016,11,2,10,4,3,4,,,,,20,,,3,16
12/1/2016,9,1,6,5,6,3,,,,,20,,,3,16
12/3/2016,16,,4,4,5,4,,,,,,,,3,16
12/5/2016,12,2,3,2,5,6,,,,,,,,3,16
12/7/2016,4,1,2,1,4,4,,1,,,,,,3,16
12/9/2016,,2,4,2,3,4,,1,,,,,,3,16
12/11/2016,,2,3,,2,5,,1,,,,,,3,16
12/13/2016,,1,3,1,2,5,,1,,,,,,3,16
12/15/2016,,1,2,,,3,,1,,,,,,3,16
12/17/2016,,,1,1,,3,,1,,,,,,3,16
12/19/2016,,,1,1,,3,,1,,,,,,3,16
12/21/2016,,,1,1,,2,1,,,1,,,,3,16
12/23/2016,,,,2,,2,1,,,,,,,3,16
12/25/2016,,,,1,1,2,1,,,,,,,3,16
12/27/2016,,,,,1,1,1,1,,,,,,3,16
12/29/2016,,,,,1,,1,1,,,,,,3,16
12/31/2016,,,,,,1,,,1,1,,,,3,16
1/2/2017,,,,,,1,,,,,,,,3,16
1/4/2017,,,,,,1,,,,,,,,3,16
1/6/2017,,,,,,1,,,,,,,,3,16
1/8/2017,,,,,,,,,,,,,,3,16
3/18/2016,20,,,,,,,,,,20,,,1,18
3/20/2016,40,,,,,,,,,,20,,,1,18
3/22/2016,37,,,,,,,,,,20,,,1,18
3/24/2016,25,15,,,,,,,,,20,,,1,18
3/26/2016,55,22,,,,,,,,,20,,,1,18
3/28/2016,67,18,10,,,,,,,,20,,,1,18
3/30/2016,89,13,16,,,,,,,,20,,,1,18
4/1/2016,76,15,22,,,,,,,,20,,,1,18
4/3/2016,71,18,13,10,,,,,,,20,,,1,18
4/5/2016,68,15,17,10,,,,,,,20,,,1,18
4/7/2016,74,16,15,13,4,,,,,,20,,,1,18
4/9/2016,79,18,11,15,3,,,,,,20,,,1,18
4/11/2016,72,13,13,10,7,,,,,,20,,,1,18
4/13/2016,64,17,14,7,10,3,,,,,20,,,1,18
4/15/2016,73,30,9,6,7,6,,,,,20,,,1,18
4/17/2016,87,24,22,4,5,10,,,,,20,,,1,18
4/19/2016,90,27,19,6,6,11,,,,,20,,,1,18
4/21/2016,77,15,33,6,5,13,,,,,20,,,1,18
4/23/2016,78,23,22,11,6,12,,1,,,20,,,1,18
4/25/2016,80,12,34,8,10,10,2,3,,,20,,,1,18
4/27/2016,75,25,27,6,8,9,3,4,,,20,,,1,18
4/29/2016,70,17,21,8,10,7,3,4,,,20,1,80,1,18
5/1/2016,77,20,19,8,10,6,4,5,,,,,,1,18
5/3/2016,75,27,25,6,6,10,3,4,1,2,,1,21,1,18
5/5/2016,63,27,22,10,6,10,1,2,4,2,,,,1,18
5/7/2016,54,30,22,8,7,9,1,2,,,,2,"73, 85",1,18
5/9/2016,41,9,31,8,5,12,1,2,,2,,2,"43, 36",1,18
5/11/2016,18,14,24,7,7,13,1,2,,1,,,,1,18
5/13/2016,10,21,21,7,6,13,1,4,1,,,,,1,18
5/15/2016,8,14,25,3,6,13,1,5,,1,,,,1,18
5/17/2016,5,9,26,4,5,14,,4,1,2,,,,1,18
5/19/2016,13,2,24,10,3,10,3,2,,3,,,,1,18
5/21/2016,20,2,22,8,6,10,2,3,1,,,2,"36, 114",1,18
5/23/2016,6,6,15,7,5,12,3,4,,,,4,"66, 97, 74, 156",1,18
5/25/2016,,4,10,6,10,9,3,3,,1,,1,109,1,18
5/27/2016,,1,8,6,8,10,3,5,,,,1,58,1,18
5/29/2016,,1,6,6,9,10,2,5,1,,,,,1,18
5/31/2016,32,,5,2,8,10,1,6,2,,,,,1,18
6/2/2016,113,,4,3,6,8,2,3,,2,,,,1,18
6/4/2016,73,4,1,2,6,11,2,2,,1,,,,1,18
6/6/2016,56,7,2,3,6,10,2,1,,1,,,,1,18
6/8/2016,16,26,,3,3,6,3,,,1,,2,"55, 52",1,18
6/10/2016,2,6,13,2,1,7,2,1,1,,,,,1,18
6/12/2016,5,4,16,,2,6,1,1,1,,,1,63,1,18
6/14/2016,,,14,,1,5,2,1,,,,,,1,18
6/16/2016,,,13,1,1,3,2,2,,,,2,"77, 135",1,18
6/18/2016,,,11,2,1,3,1,2,1,,,1,42,1,18
6/20/2016,,,3,6,3,2,1,3,,,,,,1,18
6/22/2016,,,3,4,5,1,2,2,,1,,,,1,18
6/24/2016,,,1,5,5,1,1,1,1,1,,1,56,1,18
6/26/2016,19,,1,3,4,4,1,, ,1,,,,1,18
6/28/2016,16,,2,1,3,6,,,1,,,,,1,18
6/30/2016,8,7,1,,3,6,1,,,,,,,1,18
7/2/2016,1,12,,,2,5,1,,,,,,,1,18
7/4/2016,,1,12,,,6,,,,,,,,1,18
7/6/2016,,,12,,,5,,1,,,,,,1,18
7/8/2016,,,10,,,3,1,2,,,,,,1,18
7/10/2016,,,7,2,,3,1,2,,,,,,1,18
7/12/2016,,,3,5,,2,1,2,,1,,,,1,18
7/14/2016,,,1,3,4,,1,2,1,1,,,,1,18
7/16/2016,,,1,3,4,,1,2,,,,,,1,18
7/18/2016,,,1,,5,2,1,2,,,,,,1,18
7/20/2016,,,,,2,4,1,1,,1,,,,1,18
7/22/2016,,,,,,6,,1,1,,,,,1,18
7/24/2016,,,,,,6,,,,1,,,,1,18
7/26/2016,,,,,,6,,,,,,,,1,18
7/28/2016,,,,,,6,,,,,,,,1,18
7/30/2016,,,,,,4,,2,,,,,,1,18
8/1/2016,,,,,,1,3,2,,,,2,"176, 210",1,18
8/3/2016,,,,,,,4,2,,,,4,"147, 92, 99, 85",1,18
8/5/2016,,,,,,,4,1,,1,,3,"36, 84, 62",1,18
8/7/2016,,,,,,,3,1,1,,,,,1,18
8/9/2016,,,,,,,2,1,1,,,,,1,18
8/11/2016,,,,,,,2,,,1,,,,1,18
8/13/2016,88,,,,,,1,,1,1,,,,1,18
8/15/2016,217,,,,,,,,1,,,,,1,18
8/17/2016,184,2,,,,,,,,,,,,1,18
8/19/2016,97,51,,,,,,,,,,,,1,18
8/21/2016,14,100,,,,,,,,,,,,1,18
8/23/2016,4,94,,,,,,,,,,,,1,18
8/25/2016,,80,7,,,,,,,,,,,1,18
8/27/2016,,15,61,,,,,,,,,,,1,18
8/29/2016,,13,52,,,,,,,,,,,1,18
8/31/2016,,4,50,7,,,,,,,,,,1,18
9/2/2016,,4,29,24,,,,,,,,,,1,18
9/4/2016,,,23,33,,,,,,,,,,1,18
9/6/2016,,,17,27,7,,,,,,,,,1,18
9/8/2016,,,10,23,12,3,,,,,,,,1,18
9/10/2016,,,5,14,18,8,,,,,,,,1,18
9/12/2016,,,5,9,12,15,,,,,,,,1,18
9/14/2016,,,5,3,8,22,,,,,,,,1,18
9/16/2016,,,3,3,4,22,,,,,,,,1,18
9/18/2016,,,1,3,4,21,,,,,,,,1,18
9/20/2016,,,,2,2,23,,1,,,,,,1,18
9/22/2016,,,,1,1,16,2,2,,,,1,98,1,18
9/24/2016,,,,1,1,14,3,3,,,,,,1,18
9/26/2016,,,,,,6,6,5,1,1,,10,"88, 85, 119, 63, 71, 84, 137, 122, 66, 76",1,18
9/28/2016,,,,,,5,5,4,1,1,,3,"54, 48, 52",1,18
9/30/2016,,,,,,4,6,2,,2,,4,"58, 42, 33, 52",1,18
10/2/2016,27,,,,,,4,2,2,1,,,,1,18
10/4/2016,21,,,,,,2,2,2,,,,,1,18
10/6/2016,221,6,,,,,,2,2,,,,,1,18
10/8/2016,178,9,,,,,,1,,1,,,,1,18
10/10/2016,91,45,3,,,,,1,,,,,,1,18
10/12/2016,15,67,7,,,,,1,,,,,,1,18
10/14/2016,3,40,25,,,,,1,,,,,,1,18
10/16/2016,,31,28,,,,,,,1,,,,1,18
10/18/2016,,15,35,5,,,,,,,,,,1,18
10/20/2016,,7,41,6,1,,,,,,,,,1,18
10/22/2016,,,36,14,1,,,,,,,,,1,18
10/24/2016,,,19,8,9,,,,,,,,,1,18
10/26/2016,,,6,25,13,,,,,,,,,1,18
10/28/2016,,,6,20,13,2,,,,,,,,1,18
10/30/2016,,,5,13,14,6,,,,,,,,1,18
11/1/2016,,,5,9,13,6,,,,,,,,1,18
11/3/2016,,,1,3,12,13,,,,,,,,1,18
11/5/2016,,,1,5,3,20,,,,,,,,1,18
11/7/2016,,,,3,2,22,,,,,,,,1,18
11/9/2016,,,,,3,20,,,,,,,,1,18
11/11/2016,,,,,3,17,2,,,,,,,1,18
11/13/2016,,,,,2,14,3,1,,,,,,1,18
11/15/2016,,,,,,11,5,4,,,,,,1,18
11/17/2016,,,,,,5,9,5,,1,,,,1,18
11/19/2016,,,,,,5,9,5,,,,6,"38, 65, 71, 46, 50, 117",1,18
11/21/2016,,,,,,5,10,5,,,,3,"47, 55, 168",1,18
11/23/2016,,,,,,3,6,4,3,2,,,,1,18
11/25/2016,,,,,,3,6,2,,2,,,,1,18
11/27/2016,,,,,,2,3,1,3,1,,,,1,18
11/29/2016,27,,,,,,2,2,1,1,,,,1,18
12/1/2016,93,,,,,,1,2,1,,,1,40,1,18
12/3/2016,87,,,,,,1,1,,1,,,,1,18
12/5/2016,72,13,,,,,,1,1,,,,,1,18
12/7/2016,16,42,,,,,,1,,,,,,1,18
12/9/2016,,40,,,,,,,,1,,,,1,18
12/11/2016,,9,28,,,,,,,,,,,1,18
12/13/2016,,3,30,,,,,,,,,,,1,18
12/15/2016,,,34,,,,,,,,,,,1,18
12/17/2016,,,19,10,,,,,,,,,,1,18
12/19/2016,,,9,19,,,,,,,,,,1,18
12/21/2016,,,2,18,7,,,,,,,,,1,18
12/23/2016,,,,17,8,1,,,,,,,,1,18
12/25/2016,,,,16,8,2,,,,,,,,1,18
12/27/2016,,,,5,11,8,,,,,,,,1,18
12/29/2016,,,,3,7,13,,,,,,,,1,18
12/31/2016,,,,,8,14,,,,,,,,1,18
1/2/2017,,,,,1,19,,,,,,,,1,18
1/4/2017,,,,,,19,,1,,,,,,1,18
1/6/2017,,,,,,13,2,3,,,,,,1,18
1/8/2017,,,,,,9,4,5,,,,,,1,18
1/10/2017,,,,,,6,4,6,1,,,2,"61, 74",1,18
1/12/2017,,,,,,1,7,7,,,,4,"28,33,35,64",1,18
1/14/2017,,,,,,,6,3,2,4,,4,"33,47,38,69",1,18
1/16/2017,2,,,,,,3,1,3,2,,,,1,18
1/18/2017,46,,,,,,1,,2,1,,1,48,1,18
1/20/2017,42,2,,,,,1,,,,,,,1,18
1/22/2017,34,13,,,,,,,1,,,,,1,18
1/24/2017,26,9,4,,,,,,,,,,,1,18
1/26/2017,9,5,10,,,,,,,,,,,1,18
1/28/2017,2,7,11,,,,,,,,,,,1,18
1/30/2017,,9,11,,,,,,,,,,,1,18
2/1/2017,,3,8,5,,,,,,,,,,1,18
2/3/2017,,2,6,7,,,,,,,,,,1,18
2/5/2017,,,5,7,3,,,,,,,,,1,18
2/7/2017,,,2,3,7,,,,,,,,,1,18
2/9/2017,,,,2,7,1,,,,,,,,1,18
2/11/2017,,,,1,4,5,,,,,,,,1,18
2/13/2017,,,,1,3,5,,,,,,,,1,18
2/15/2017,,,,,1,7,,,,,,,,1,18
2/17/2017,,,,,1,8,,,,,,,,1,18
2/19/2017,,,,,1,7,1,,,,,,,1,18
2/21/2017,,,,,,6,3,,,,,,,1,18
2/23/2017,,,,,,3,4,2,,,,,,1,18
2/25/2017,,,,,,2,5,2,,,,3,"127,140,136",1,18
2/27/2017,,,,,,1,5,2,1,,,3,"29,31,27",1,18
3/1/2017,,,,,,1,4,1,1,1,,,,1,18
3/3/2017,,,,,,,1,1,4,,,,,1,18
3/5/2017,,,,,,,1,,,,,,,1,18
3/7/2017,185,,,,,,1,,,,,,,1,18
3/9/2017,129,,,,,,,,,,,,,1,18
3/11/2017,68,20,,,,,,,,,,,,1,18
3/13/2017,1,47,,,,,,,,,,,,1,18
3/15/2017,,29,8,,,,,,,,,,,1,18
3/17/2017,,,33,,,,,,,,,,,1,18
3/19/2017,,,29,,,,,,,,,,,1,18
3/21/2017,,,19,7,,,,,,,,,,1,18
3/23/2017,,,11,9,2,,,,,,,,,1,18
3/25/2017,,,3,11,5,,,,,,,,,1,18
3/27/2017,,,,7,11,,,,,,,,,1,18
3/29/2017,,,,4,7,6,,,,,,,,1,18
3/31/2017,,,,3,5,9,,,,,,,,1,18
4/2/2017,,,,2,5,10,,,,,,,,1,18
4/4/2017,,,,1,2,13,,,,,,,,1,18
4/6/2017,,,,1,1,14,,,,,,,,1,18
4/8/2017,,,,1,,14,,1,,,,,,1,18
4/10/2017,,,,,,8,1,6,,,,,,1,18
4/12/2017,,,,,,6,2,6,,,,1,85,1,18
4/14/2017,,,,,,3,4,7,,,,3,"81,86,72",1,18
4/16/2017,,,,,,2,5,5,,,,9,"84,76,61,59,49,137,63,33,60",1,18
4/18/2017,,,,,,2,4,3,1,2,,4,"27,16,20,29",1,18
4/20/2017,,,,,,1,4,1,1,2,,,,1,18
4/22/2017,,,,,,1,2,,2,1,,,,1,18
4/24/2017,117,,,,,,,,2,,,,,1,18
4/26/2017,252,,,,,,,,,,,,,1,18
4/28/2017,180,8,,,,,,,,,,,,1,18
4/30/2017,70,50,,,,,,,,,,,,1,18
5/2/2017,11,67,5,,,,,,,,,,,1,18
5/4/2017,,38,22,,,,,,,,,,,1,18
5/6/2017,,11,47,,,,,,,,,,,1,18
5/8/2017,,8,39,,,,,,,,,,,1,18
5/10/2017,,,40,2,,,,,,,,,,1,18
5/12/2017,,,33,5,,,,,,,,,,1,18
5/14/2017,,,15,15,2,,,,,,,,,1,18
5/16/2017,,,9,12,8,,,,,,,,,1,18
5/18/2017,,,5,13,7,,,,,,,,,1,18
5/20/2017,,,4,9,10,1,,,,,,,,1,18
5/22/2017,,,2,7,4,6,,,,,,,,1,18
5/24/2017,,,,3,6,9,,,,,,,,1,18
5/26/2017,,,,2,5,9,,,,,,,,1,18
5/28/2017,,,,,4,10,,,,,,,,1,18
5/30/2017,,,,,3,10,,1,,,,,,1,18
6/1/2017,,,,,2,6,3,2,,,,,,1,18
6/3/2017,,,,,1,7,3,2,,,,,,1,18
6/5/2017,,,,,,5,4,3,,,,,,1,18
6/7/2017,,,,,,4,3,1,2,2,,2,"28,33",1,18
6/9/2017,,,,,,4,1,1,2,,,,,1,18
6/11/2017,,,,,,3,1,,1,1,,,,1,18
6/13/2017,,,,,,3,1,,,,,,,1,18
6/15/2017,57,,,,,2,1,1,,,,,,1,18
6/17/2017,85,,,,,2,,1,1,,,,,1,18
6/19/2017,60,16,,,,,,1,,,,,,1,18
6/21/2017,19,28,1,,,,,,,1,,,,1,18
6/23/2017,5,23,7,,,,,,,,,,,1,18
6/25/2017,3,19,5,,,,,,,,,,,1,18
6/27/2017,,5,19,,,,,,,,,,,1,18
6/29/2017,,,17,1,,,,,,,,,,1,18
7/1/2017,,,14,2,,,,,,,,,,1,18
7/3/2017,,,8,5,1,,,,,,,,,1,18
7/5/2017,,,3,4,4,,,,,,,,,1,18
7/7/2017,,,,3,7,,,,,,,,,1,18
7/9/2017,,,,2,4,4,,,,,,,,1,18
7/11/2017,,,,,4,6,,,,,,,,1,18
7/13/2017,,,,,3,6,,,,,,,,1,18
7/15/2017,,,,,1,8,,,,,,,,1,18
7/17/2017,,,,,,8,,1,,,,,,1,18
7/19/2017,,,,,,4,2,2,,,,,,1,18
7/21/2017,,,,,,4,2,1,,1,,2,"44,59",1,18
7/23/2017,,,,,,2,3,1,,1,,,,1,18
7/25/2017,,,,,,,4,2,,,,,,1,18
7/27/2017,,,,,,,3,2,1,,,4,"39,48,37,15",1,18
7/29/2017,,,,,,,2,2,1,,,3,"22,17,19",1,18
7/31/2017,,,,,,,1,2,1,,,,,1,18
8/2/2017,49,,,,,,,,1,2,,,,1,18
8/4/2017,56,,,,,,,,,,,,,1,18
8/6/2017,44,5,,,,,,,,,,,,1,18
8/8/2017,13,22,4,,,,,,,,,,,1,18
8/10/2017,5,22,8,,,,,,,,,,,1,18
8/12/2017,1,6,20,,,,,,,,,,,1,18
8/14/2017,,2,16,,,,,,,,,,,1,18
8/16/2017,,,6,9,1,,,,,,,,,1,18
8/18/2017,,,,,,,,,,,,,,1,18
8/20/2017,,,6,10,2,,,,,,,,,1,18
8/22/2017,,,5,7,4,,,,,,,,,1,18
8/24/2017,,,,5,9,1,,,,,,,,1,18
8/26/2017,,,,5,8,3,,,,,,,,1,18
8/28/2017,,,,3,3,9,,,,,,,,1,18
8/30/2017,,,,3,3,9,,,,,,,,1,18
9/1/2017,,,,1,2,10,,,,,,,,1,18
9/3/2017,,,,2,1,10,,,,,,,,1,18
9/5/2017,,,,,3,9,,1,,,,,,1,18
9/7/2017,,,,,1,7,3,2,,,,1,75,1,18
9/9/2017,,,,,1,3,4,4,,,,,,1,18
9/11/2017,,,,,1,1,5,3,1,1,,1,"48,13,71",1,18
9/13/2017,,,,,,,5,2,,1,,,,1,18
9/15/2017,,,,,,2,5,,,2,,,,1,18
9/17/2017,,,,,,2,1,,4,,,,,1,18
9/19/2017,83,,,,,1,,1,1,,,1,29,1,18
9/21/2017,128,,,,,1,,1,,,,,,1,18
9/23/2017,145,2,,,,,1,,,1,,,,1,18
9/25/2017,45,36,,,,,1,,,,,,,1,18
9/27/2017,15,24,12,,,,1,,,,,,,1,18
9/29/2017,3,12,21,,,,1,,,,,,,1,18
10/1/2017,,7,17,,,,1,,,,,,,1,18
10/3/2017,,3,23,,,,,,1,,,,,1,18
10/5/2017,,2,15,4,,,,,,,,,,1,18
10/7/2017,,,10,8,2,,,,,,,,,1,18
10/9/2017,,,6,7,6,,,,,,,,,1,18
10/11/2017,,,4,3,9,3,,,,,,,,1,18
10/13/2017,,,1,5,8,5,,,,,,,,1,18
10/15/2017,,,1,4,4,10,,,,,,,,1,18
10/17/2017,,,,3,3,12,,,,,,,,1,18
10/19/2017,,,,1,2,14,,,,,,,,1,18
10/21/2017,,,,1,2,14,,,,,,,,1,18
10/23/2017,,,,1,2,10,,3,,,,,,1,18
10/25/2017,,,,1,,7,3,2,,2,,,,1,18
10/27/2017,,,,,,5,2,3,3,,,2,"75,28",1,18
10/29/2017,,,,,,3,3,1,,2,,2,"20,18",1,18
10/31/2017,,,,,,2,3,2,,,,,,1,18
11/2/2017,,,,,,2,2,2,,1,,3,"39,28,31",1,18
11/4/2017,,,,,,,2,1,1,1,,1,25,1,18
11/6/2017,,,,,,,1,,1,1,,2,"28,56",1,18
11/8/2017,11,,,,,,1,,,,,,,1,18
11/10/2017,42,,,,,,,,1,,,,,1,18
11/12/2017,51,3,,,,,,,,,,,,1,18
11/14/2017,43,7,,,,,,,,,,,,1,18
11/16/2017,45,19,,,,,,,,,,,,1,18
11/18/2017,14,19,10,,,,,,,,,,,1,18
11/20/2017,6,16,13,,,,,,,,,,,1,18
11/22/2017,3,9,19,1,,,,,,,,,,1,18
11/24/2017,,9,16,2,,,,,,,,,,1,18
11/26/2017,,6,15,3,2,,,,,,,,,1,18
